name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
293 Medical Centre,null,This Bankstown doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		293 Medical Centre
		293 Chapel Rd
		Bankstown, NSW 2200		Phone: 02 97964114		
	",null,293 Medical Centre is a Bankstown doctors practice in NSW.,This doctors practice in Bankstown specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/293-medical-centre
555 Elizabeth St Medical Centre,null,This Surry Hills doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		555 Elizabeth St Medical Centre
		Cleveland St
		Surry Hills, NSW 2010		Phone: 02 96982020		
	",null,555 Elizabeth St Medical Centre is a Surry Hills doctors practice in NSW.,This doctors practice in Surry Hills specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/555-elizabeth-st-medical-centre
7 Day Medical Centre,null,This Forster doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		7 Day Medical Centre
		28 West St
		Forster, NSW 2428		Phone: 02 65559991		
	",null,7 Day Medical Centre is a Forster doctors practice in NSW.,This doctors practice in Forster specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/7-day-medical-centre
7 Day Medical Centre-Kawana Waters,null,This Minyama doctors practice is a Queensland doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		7 Day Medical Centre-Kawana Waters
		Cnr Nicklin Way/ & Kensington Dr
		Minyama, QLD 4575		Phone: 07 54447544		
	",null,7 Day Medical Centre-Kawana Waters is a Minyama doctors practice in QLD.,This doctors practice in Minyama specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/7-day-medical-centre-kawana-waters
A & C Counselling Services,null,This Ives doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A & C Counselling Services
		227 Mona Vale Rd
		Ives, NSW 2075		Phone: 02 94887358		
	",null,A & C Counselling Services is a Ives doctors practice in NSW.,"This doctors practice in Ives specialises in Psychology,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-&-c-counselling-services
A & C Goodwin Drs,null,This Unley doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A & C Goodwin Drs
		199 Unley Rd
		Unley, SA 5061		Phone: 08 83730355		
	",null,A & C Goodwin Drs is a Unley doctors practice in SA.,This doctors practice in Unley specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-&-c-goodwin-drs
A & G Lomas Physiotherapy At Grantham St Medical Centre,null,This Brunswick doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A & G Lomas Physiotherapy At Grantham St Medical Centre
		69 Grantham St
		Brunswick, VIC 3056		Phone: 03 93801384		
	",null,A & G Lomas Physiotherapy At Grantham St Medical Centre is a Brunswick doctors practice in VIC.,"This doctors practice in Brunswick specialises in Physiotherapy,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-&-g-lomas-physiotherapy-at-grantham-st-medical-centre
A A Berala Medical Centre,null,This Berala doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A A Berala Medical Centre
		Shop 3-5 Berala Shopping Ctr
		Berala, NSW 2141		Phone: 02 96438122		
	",null,A A Berala Medical Centre is a Berala doctors practice in NSW.,This doctors practice in Berala specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-a-berala-medical-centre
A A Figtrees Physiotherapy Centre,null,This Clayfield doctors practice is a Queensland doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A A Figtrees Physiotherapy Centre
		Cnr Sandgate & Oriel Rds
		Clayfield, QLD 4011		Phone: 07 38623433		
	",null,A A Figtrees Physiotherapy Centre is a Clayfield doctors practice in QLD.,"This doctors practice in Clayfield specialises in Physiotherapy,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-a-figtrees-physiotherapy-centre
A A P Centre Medical,null,This Sydney doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A A P Centre Medical
		Level 1/ AAP Centre/ 259 George St/ Cnr George & Jamison Sts
		Sydney, NSW 2000		Phone: 02 92471162		
	",null,A A P Centre Medical is a Sydney doctors practice in NSW.,This doctors practice in Sydney specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-a-p-centre-medical
A Access Osteopathic Clinic,null,This Melbourne doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Access Osteopathic Clinic
		510/ 220 Collins St
		Melbourne, VIC 3000		Phone: 04 17321945		
	",null,A Access Osteopathic Clinic is a Melbourne doctors practice in VIC.,"This doctors practice in Melbourne specialises in Osteopathy,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-access-osteopathic-clinic
A Baird,null,This Sydney doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Baird
		Strand Arc Level 2 Ste 100 412 George St
		Sydney, NSW 2000		Phone: 02 92322885		
	",null,A Baird is a Sydney doctors practice in NSW.,"This doctors practice in Sydney specialises in Podiatry,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-baird
A Bankstown Square Clinic,null,This Bankstown doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Bankstown Square Clinic
		Lady Cutler Ave Entrance Bankstown Sq
		Bankstown, NSW 2200		Phone: 02 97905554		
	",null,A Bankstown Square Clinic is a Bankstown doctors practice in NSW.,This doctors practice in Bankstown specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-bankstown-square-clinic
A Body For Life Osteopathic Medicine,null,This Avalon doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Body For Life Osteopathic Medicine
		Level 1/ Ste 2 46 Old Barrenjoey Rd
		Avalon, NSW 2107		Phone: 02 99733633		
	",null,A Body For Life Osteopathic Medicine is a Avalon doctors practice in NSW.,"This doctors practice in Avalon specialises in Osteopathy,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-body-for-life-osteopathic-medicine
A Bulk Billing Doctor,null,This Montrose doctors practice is a Tasmanian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Bulk Billing Doctor
		519 Main Rd
		Montrose, TAS 7010		Phone: 03 62732888		
	",null,A Bulk Billing Doctor is a Montrose doctors practice in TAS.,This doctors practice in Montrose specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-bulk-billing-doctor
A Bulk Billing Family Practice,null,This Doncaster doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Bulk Billing Family Practice
		1045 Doncaster Rd
		Doncaster, VIC 3109		Phone: 03 98414408		
	",null,A Bulk Billing Family Practice is a Doncaster doctors practice in VIC.,This doctors practice in Doncaster specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-bulk-billing-family-practice
A D Winter,null,This Canterbury doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A D Winter
		864 Burke Rd
		Canterbury, VIC 3126		Phone: 03 98826798		
	",null,A D Winter is a Canterbury doctors practice in VIC.,This doctors practice in Canterbury specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-d-winter
A G Bull,null,This Petersham doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A G Bull
		Lewisham Sports MedicineCentre 1-7 West St
		Petersham, NSW 2049		Phone: 02 95729799		
	",null,A G Bull is a Petersham doctors practice in NSW.,This doctors practice in Petersham specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-g-bull
A Healing With Feeling Centre,null,This Pauls Rd doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Healing With Feeling Centre
		78 St
		Pauls Rd, NSW 2031		Phone: 02 97513868		
	",null,A Healing With Feeling Centre is a Pauls Rd doctors practice in NSW.,This doctors practice in Pauls Rd specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-healing-with-feeling-centre
A J Millman Pty Ltd,null,This Footscray doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A J Millman Pty Ltd
		77 Paisley St
		Footscray, VIC 3011		Phone: 03 96892466		
	",null,A J Millman Pty Ltd is a Footscray doctors practice in VIC.,This doctors practice in Footscray specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-j-millman-pty-ltd
A Kay & G Powell,null,This Dandenong doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Kay & G Powell
		Suite 8/ 57 Robinson St
		Dandenong, VIC 3175		Phone: 03 97937400		
	",null,A Kay & G Powell is a Dandenong doctors practice in VIC.,This doctors practice in Dandenong specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-kay-&-g-powell
A Lamas,null,This Campsie doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Lamas
		12 Claremont St
		Campsie, NSW 2194		Phone: 02 97873793		
	",null,A Lamas is a Campsie doctors practice in NSW.,This doctors practice in Campsie specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-lamas
A Liston,null,This Balaclava doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Liston
		28 Nelson Balcl
		Balaclava, VIC 3183		Phone: 03 95349524		
	",null,A Liston is a Balaclava doctors practice in VIC.,This doctors practice in Balaclava specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-liston
A M Yourell,null,This Chatswood doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A M Yourell
		150 Greville St
		Chatswood, NSW 2067		Phone: 02 94196858		
	",null,A M Yourell is a Chatswood doctors practice in NSW.,This doctors practice in Chatswood specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-m-yourell
A Nadia Zanco,null,This Darlinghurst doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Nadia Zanco
		16 Taylor St
		Darlinghurst, NSW 2010		Phone: 02 93609902		
	",null,A Nadia Zanco is a Darlinghurst doctors practice in NSW.,This doctors practice in Darlinghurst specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-nadia-zanco
A Nashed Dr,null,This Blacktown doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Nashed Dr
		Shop 4/ 5 Patrick St
		Blacktown, NSW 2148		Phone: 02 96211233		
	",null,A Nashed Dr is a Blacktown doctors practice in NSW.,This doctors practice in Blacktown specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-nashed-dr
A R Lee,null,This Glebe doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A R Lee
		173 St Johns Rd
		Glebe, NSW 2037		Phone: 02 95522934		
	",null,A R Lee is a Glebe doctors practice in NSW.,This doctors practice in Glebe specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-r-lee
A Ratcliff,null,This South Grafton doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Ratcliff
		98 Through St
		South Grafton, NSW 2460		Phone: 02 66431500		
	",null,A Ratcliff is a South Grafton doctors practice in NSW.,This doctors practice in South Grafton specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-ratcliff
A Seemann,null,This Bondi Jct doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Seemann
		251 Oxford St
		Bondi Jct, NSW 2025		Phone: 02 93878078		
	",null,A Seemann is a Bondi Jct doctors practice in NSW.,This doctors practice in Bondi Jct specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-seemann
A Touch Of Health Clinic,null,This Brisbane doctors practice is a Queensland doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Touch Of Health Clinic
		1st Level/ 243 Edward St/ Brisbane
		Brisbane, QLD 4000		Phone: 1800 000770		
	",null,A Touch Of Health Clinic is a Brisbane doctors practice in QLD.,"This doctors practice in Brisbane specialises in Skin Clinic,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-touch-of-health-clinic
A Waverley Family Healthcare,null,This Mt Waverley doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Waverley Family Healthcare
		58 Pinewood Dr
		Mt Waverley, VIC 3149		Phone: 03 98028000		
	",null,A Waverley Family Healthcare is a Mt Waverley doctors practice in VIC.,This doctors practice in Mt Waverley specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-waverley-family-healthcare
A Wheelers Hill Clinic,null,This Wheelers Hill doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Wheelers Hill Clinic
		847 Ferntree Gully Rd
		Wheelers Hill, VIC 3150		Phone: 03 95613200		
	",null,A Wheelers Hill Clinic is a Wheelers Hill doctors practice in VIC.,This doctors practice in Wheelers Hill specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-wheelers-hill-clinic
A Yarraville Village Family Medical Centre,null,This Yarraville doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A Yarraville Village Family Medical Centre
		93 Anderson St
		Yarraville, VIC 3013		Phone: 03 93147675		
	",null,A Yarraville Village Family Medical Centre is a Yarraville doctors practice in VIC.,This doctors practice in Yarraville specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a-yarraville-village-family-medical-centre
A1 Paramedical Centre-Campbelltown,null,This Campbelltown doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		A1 Paramedical Centre-Campbelltown
		Suite 4 100 Queen St
		Campbelltown, NSW 2560		Phone: 02 46250611		
	",null,A1 Paramedical Centre-Campbelltown is a Campbelltown doctors practice in NSW.,This doctors practice in Campbelltown specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/a1-paramedical-centre-campbelltown
null,null,null,Medical Doctor,null,null,null,,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/aa-skin-cancer-clinic-penrith/-primary-care
AAA Doctors,null,This Melbourne doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		AAA Doctors
		3rd floor/ 423 Bourke St
		Melbourne, VIC 3000		Phone: 03 96422456		
	",null,AAA Doctors is a Melbourne doctors practice in VIC.,This doctors practice in Melbourne specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/aaa-doctors
Abarnathy Physiotherapy Clinic,null,This Subiaco doctors practice is a Western Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abarnathy Physiotherapy Clinic
		367 Rokeby Rd
		Subiaco, WA 6008		Phone: 08 93212525		
	",null,Abarnathy Physiotherapy Clinic is a Subiaco doctors practice in WA.,"This doctors practice in Subiaco specialises in Physiotherapy,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abarnathy-physiotherapy-clinic
Abatematteo Rosetta Linda,null,This Albany doctors practice is a Western Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abatematteo Rosetta Linda
		35 Bayonet Rd
		Albany, WA 6330		Phone: 04 32659598		
	",null,Abatematteo Rosetta Linda is a Albany doctors practice in WA.,This doctors practice in Albany specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abatematteo-rosetta-linda
Abbey Robyn,null,This Canungra doctors practice is a Queensland doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbey Robyn
		49 Christie St
		Canungra, QLD 4275		Phone: 07 55435688		
	",null,Abbey Robyn is a Canungra doctors practice in QLD.,This doctors practice in Canungra specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbey-robyn
Abbotsford Family Practice,null,This Abbotsford doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbotsford Family Practice
		409 Great North Rd
		Abbotsford, NSW 2046		Phone: 02 97137988		
	",null,Abbotsford Family Practice is a Abbotsford doctors practice in NSW.,This doctors practice in Abbotsford specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbotsford-family-practice
Abbotsford Medical Surgery,null,This Abbotsford doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbotsford Medical Surgery
		401 A Victoria St
		Abbotsford, VIC 3067		Phone: 03 94288209		
	",null,Abbotsford Medical Surgery is a Abbotsford doctors practice in VIC.,This doctors practice in Abbotsford specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbotsford-medical-surgery
Abbott Geoff,null,This Brighton doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbott Geoff
		85 Wilson St
		Brighton, VIC 3186		Phone: 03 95929144		
	",null,Abbott Geoff is a Brighton doctors practice in VIC.,This doctors practice in Brighton specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbott-geoff
Abbott Jane,null,This Geelong doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbott Jane
		157 Myers St
		Geelong, VIC 3220		Phone: 03 52221195		
	",null,Abbott Jane is a Geelong doctors practice in VIC.,This doctors practice in Geelong specialises in Specialist.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbott-jane
Abbott K J,null,This North Adelaide doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbott K J
		Womens & Childrens Hospital 72 King William Rd
		North Adelaide, SA 5006		Phone: 08 82047308		
	",null,Abbott K J is a North Adelaide doctors practice in SA.,"This doctors practice in North Adelaide specialises in Cosmetic Surgery,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbott-k-j
Abbott N R,null,This Hamilton doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbott N R
		Foster St
		Hamilton, VIC 3300		Phone: 03 55722422		
	",null,Abbott N R is a Hamilton doctors practice in VIC.,This doctors practice in Hamilton specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbott-n-r
Abbott Sue,null,This Frenchs Forest doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abbott Sue
		449 Warringah Rd
		Frenchs Forest, NSW 2086		Phone: 02 94526065		
	",null,Abbott Sue is a Frenchs Forest doctors practice in NSW.,This doctors practice in Frenchs Forest specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abbott-sue
Abc Psychology Services,null,This Westbourne Park doctors practice is a South Australian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abc Psychology Services
		401 Goodwood Rd
		Westbourne Park, SA 5041		Phone: 08 82711448		
	",null,Abc Psychology Services is a Westbourne Park doctors practice in SA.,"This doctors practice in Westbourne Park specialises in Psychology,Specialist.",null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abc-psychology-services
Abdalla Kamal,null,This Hoppers Crossing doctors practice is a Victorian doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abdalla Kamal
		1 Barber Dr
		Hoppers Crossing, VIC 3029		Phone: 03 97487070		
	",null,Abdalla Kamal is a Hoppers Crossing doctors practice in VIC.,This doctors practice in Hoppers Crossing specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abdalla-kamal
Abdalla M A,null,This Auburn doctors practice is a New South Wales doctors practice on the Australian Doctors Directory.,Medical Doctor,"
Contact information
		Abdalla M A
		79 Auburn Rd
		Auburn, NSW 2144		Phone: 02 96462980		
	",null,Abdalla M A is a Auburn doctors practice in NSW.,This doctors practice in Auburn specialises in General Practice.,null,english,null,null,null,null,null,https://australiandoctorsdirectory.com.au//doctors/abdalla-m-a
