type,name,Photo,about,contactname,phone,email,address,city,state,county,Discipline,Amenities,language,rating,votes,timings,Mode of Payment,onlinebooking,Year Established,Linkedin,linktoprofile
Ayurveda,Pooja Maternity Nursing Home & Ent Center,https://images1-fabric.practo.com/532aa7022f9b1e5befbce9e63b12d44fb97369ec732d4.jpg/thumbnail,"Pooja maternity and nursing home exists since past 30 years now. We share special bond with all our mothers and babies, Since last 30 years. Well planned modern infrastructure. Highly professional team. more..",null,022 7187 3699,null,"Shree Santoshi Mata Coop HSG Society Kajupada Bridge Bhatwadi, Ghatkopar West. Landmark: Opp Sarswati Bank & Near Ashirwad Hotel.
Landmark: Near Jagruti Nagar Metro Station
Ghatkopar West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",5.0,(114 patient stories),null,null,https://www.practo.com/mumbai/hospital/pooja-maternity-nursing-home-and-ent-center-ghatkopar-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/pooja-maternity-nursing-home-and-ent-center-ghatkopar-west?specialization=Ayurveda
Ayurveda,Ashwini Ayurvedic Hopsital,https://images1-fabric.practo.com/practices/1271209/ashwini-ayurvedic-hopsital-mumbai-5de61523c3ffe.PNG/thumbnail,"In Mumbai, Ashwini Ayurvedic Hospital is a recognized name in patient care. It was incepted in the year 2001. They are one of the well-known Ayurvedic Hospitals in Mumbai. Backed with a vision to offer the best in patient care, they are one of the popular names in healthcare industry. Location: , more..",null,020 7118 7111,null,"Ashwini Ayurvedic Hospital Bungalow No. 260/275 RSC Road 1A, Gorai- 1 Borivali West, Mumbai
Landmark: Opp. Gorai Garden/Near Ganesh Mandir
Borivali West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sat
09:00 AM - 09:00 PM",null,https://www.practo.com/mumbai/hospital/ashwini-ayurvedic-hopsital-research-centre-borivali-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/ashwini-ayurvedic-hopsital-research-centre-borivali-west?specialization=Ayurveda
Ayurveda,Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,https://images1-fabric.practo.com/dr-jonwals-niramay-ayush-panchkarm-health-instituteresearch-mumbai-1447151942-5641c9464e19a.JPG/thumbnail,"Dr. Jonwals Niramay Ayush Panchkarm Health Institute & Research Hospital is a Super Multi Speciality Hospital for Multiple Diseases in Borivali West, Mumbai. The hospital is visited by doctors like Dr. Laxman G Jonwal and Dr. Sunita Jonwal. Treatment Without Operation for Multiple Diseases. Experien more..",null,020 4855 2218,null,"Plot Number-30/221, Matoshree Bungalow, Charkop Sector 6
Landmark: Behind Ambe Mata Mandir & Near Chickuwadi Mhada Colony Bridge
Kandivali West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.5,(522 patient stories),"Mon - Sat
08:30 AM - 07:00 PM",null,https://www.practo.com/mumbai/hospital/dr-jonwal-s-niramay-ayush-panchkarm-health-institute-and-research-hospital-kandivali-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/dr-jonwal-s-niramay-ayush-panchkarm-health-institute-and-research-hospital-kandivali-west?specialization=Ayurveda
Ayurveda,Vivanta Hospital,https://images1-fabric.practo.com/practices/1146710/vivanta-hospital-mumbai-5a0d8867a100b.png/thumbnail,We are a 20-bed hospital with I.C.U units along with Laminar OT in order to offer the highest levels of medical care to our patients.Our wide arrays of medical server are available 24 hours a day throughout the year.Our highly specialized patient care adheras to the highest standard in city.As afami more..,null,022 4893 3641,null,"JP Residency, Chincholi Bunder Road, Malad (West)
Landmark: sunder nagar
Malad West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.5,(113 patient stories),"Mon - Sat
12:00 AM - 11:59 PM",null,https://www.practo.com/mumbai/hospital/vivanta-hospital-malad-west-2?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/vivanta-hospital-malad-west-2?specialization=Ayurveda
Ayurveda,Vinayak Maternity And General Hospital,https://images1-fabric.practo.com/5566f92cf18731244b63f10161a1c2ef8edc0bae5ba6f.jpg/thumbnail,Walk-in clinic,null,020 7117 3196,null,"A-101,Ground Floor,Vikas Park Building,Link Road,Mith Chowk,Malad West,Landmark: Opposite Uncle’s Kitchen.

Malad West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.0,(24 patient stories),"Mon - Sun
07:30 AM - 10:30 PM",null,https://www.practo.com/mumbai/hospital/vinayak-maternity-and-general-hospital-malad-west-1?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/vinayak-maternity-and-general-hospital-malad-west-1?specialization=Ayurveda
Ayurveda,Breach Candy Hospital,https://images1-fabric.practo.com/53a1712e8654996d6f2e7e1f705ab5e59c84a6dc009b2.jpg/thumbnail,"Breach Candy Hospital is a Multi Speciality Clinic in Breach Candy, Mumbai. The clinic is visited by gynecologist like Dr. Avan Dadina,Dr. Bhupendra more..",null,020 7117 3180,null,"# 60 A, Bhulabhai Desai Road, Breach Candy. Landmark: Next To Mahalakshmi Temple.

Breach Candy, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.0,(309 patient stories),null,null,https://www.practo.com/mumbai/hospital/breach-candy-hospital-2?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/breach-candy-hospital-2?specialization=Ayurveda
Ayurveda,Asian Cancer Institute,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Asian Cancer Institute provides overall care in prevention, treatment and management of cancer through Medical Oncology, Surgical Oncology, Pain & Palliative management and other allied supportive care.",null,020 7117 3225,null,"Off Eastern Express Highway
Landmark: Behind Everard Nagar & Near Somaiya Ayurvihar
Sion East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",4.5,(27 patient stories),null,null,https://www.practo.com/mumbai/hospital/asian-cancer-institute-sion?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/asian-cancer-institute-sion?specialization=Ayurveda
Ayurveda,SMT. K.G. Mittal Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"SMT. K.G. Mittal Hospital is an Ayurveda Hospital in Charni Road, Mumbai. The clinic is visited by doctors like Dr. Amit Nampalliwar. more..",null,020 7117 3180,null,"Netaji Subhash Road
Landmark: Opposite Government Press
Charni Road, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Fri, Sun
09:00 AM - 06:00 PM",null,https://www.practo.com/mumbai/hospital/smt-k-g-mittal-hospital-mumbai-charni-road?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/smt-k-g-mittal-hospital-mumbai-charni-road?specialization=Ayurveda
Ayurveda,Balaji Hospital-Mira Road,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Balaji Hospital-Mira Road is a Multi Speciality Clinic in Bhayandar East, Mumbai. The clinic is visited by doctors like Dr. Sevarin Posa,Dr. Nicky J more..",null,020 7117 3177,null,"First Floor, Sonam Ekta Building, Landmark : Opposite Golden Nest Circle, Mira Bhayander Road

Bhayandar East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sun
09:00 AM - 09:00 PM",null,https://www.practo.com/mumbai/hospital/balaji-hospital-mira-road-mira-road?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/balaji-hospital-mira-road-mira-road?specialization=Ayurveda
Ayurveda,Atlantis Max Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Atlantis Max Hospital is a Multi Speciality Hospital in Kandivali West, Mumbai. The clinic is visited by doctors like Dr. Anuj Singh,Dr. Riddhi Shah more..",null,020 7117 3190,null,"Ground Floor, Kanchanganga Building, S.V. Road
Landmark: Beside Bal Bharathi School
Kandivali West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/hospital/atlantis-max-hospital-kandivali-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/atlantis-max-hospital-kandivali-west?specialization=Ayurveda
Ayurveda,Dr. Nikam Pile Hospital,https://images1-fabric.practo.com/54f97d222386605070aba8ab83cb36650f1ac65b2f167.jpg/thumbnail,"Dr. Dnyanesh Nikam is a well known doctor in Maharashtra for treating Ano-Rectal diseases like Piles, Fissures, Fistula. A Bachelor of Ayurvedic Medicine & Surgery, Dr. Nikam has treated patients with para-surgical procedure, by using principles of Ayurveda (Indian science) & Modern science technolo more..",null,020 7117 3224,null,"B-5, Silver Appt. Shankar Ghanekar Marg. behind Siddhivinayak Mandir, Prabhadevi Dadar, (w) Mumbai-28

Prabhadevi, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",5.0,(35 patient stories),"Mon - Sat
08:30 AM - 01:30 PM
06:00 PM - 07:00 PM",null,https://www.practo.com/mumbai/hospital/dr-nikam-pile-hospital-gangapur?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/dr-nikam-pile-hospital-gangapur?specialization=Ayurveda
Ayurveda,Siddhivinayak Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Siddhivinayak Hospital is a Hospital in Kandivali East, Mumbai. The clinic is visited by ayurveda like Dr. Rajesh R Ram. The timings of Siddhivinayak Hospital are: Mon-Sun: 00:00- more..",null,020 7117 3189,null,"Sindhudurg CHS, Singh Estate, Road No.3, Kandivali(E), Landmark: Near Samata Nagar & Opp.Thakur College.

Kandivali East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/hospital/siddhivinayak-hospital-kandivali?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/siddhivinayak-hospital-kandivali?specialization=Ayurveda
Ayurveda,RCF Hospital,https://images1-fabric.practo.com/practices/1153346/rcf-hospital-mumbai-597aa9f275800.JPG/thumbnail,Specilaity in Industrial health,null,020 7117 3182,null,"RCF Colony
Landmark: Priyadarshini Tower, Behind Ashish Theater
Chembur East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Wed
10:00 AM - 01:00 PM",null,https://www.practo.com/mumbai/hospital/rcf-hospital-chembur-1?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/rcf-hospital-chembur-1?specialization=Ayurveda
Ayurveda,Vishwa Kripa Hospital & Polyclinic,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Vishwa Kripa Hospital & Polyclinic is a Hospital in Goregaon East, Mumbai. The clinic is visited by ayurveda like Dr. Noor A Khan. The timings of Vishwa Kripa Hospital & Polyclini more..",null,020 7117 3186,null,"Naikwadi, opp to Heritage Hotel, Aarey Road Goregao Station (E) Mumbai -63

Goregaon East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Tue, Thu, Sat
11:00 AM - 01:00 PM",null,https://www.practo.com/mumbai/hospital/vishwa-kripa-hospital-polyclinic-goregaon-east?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/vishwa-kripa-hospital-polyclinic-goregaon-east?specialization=Ayurveda
Ayurveda,Orbit Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Orbit Hospital is an Ayurveda Clinic in Mulund East, Mumbai. The clinic is visited by doctors like Dr. Gopal Dubey. The timings of Orbit Hospital are: Mon-Sat: 14:00-15:00, 18:00- more..",null,020 7117 3199,null,"#2, Kisan Nagar, Wagle State, Landmark: Near Pipe lIne Galli.

Mulund East, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sat
02:00 PM - 03:00 PM
06:00 PM - 08:00 PM",null,https://www.practo.com/mumbai/hospital/orbit-hospital-thane-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/orbit-hospital-thane-west?specialization=Ayurveda
Ayurveda,Sujay Hospital And Research Center,https://images1-fabric.practo.com/sujay-hospital-and-research-center-mumbai-1476965685-5808b535f1fbe.jpg/thumbnail,"Sujay Hospital And Research Center is an Ayurveda Hospital in Juhu, Mumbai. The clinic is visited by doctors like Dr. Manish Dhuri. The timings of Sujay Hospital And Research Cent more..",null,020 7117 3188,null,"25, Gulmohar Park, Gulmohar Road
Landmark: Near Talwalkar
Juhu, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sat
10:00 AM - 02:00 PM",null,https://www.practo.com/mumbai/hospital/sujay-hospital-and-research-center-juhu?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/sujay-hospital-and-research-center-juhu?specialization=Ayurveda
Ayurveda,Atlantis Hospital,//www.practostatic.com/web-assets/images/default_clinic.60df7b39c2ae.png,"Atlantis Hospital is a Hospital in Malad West, Mumbai. The clinic is visited by ayurveda like Dr. SAGAR S. NALE. The timings of Atlantis Hospital are: Mon-Sat: 16:00-20:00. more..",null,020 7117 3197,null,"1st floor, Bay view building, Rathodi Village, Marve Road. Landmark: Opp to New HP Petrol Bunk.

Malad West, Mumbai
Get Directions",Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,"Mon - Sat
04:00 PM - 08:00 PM",null,https://www.practo.com/mumbai/hospital/dr-sagar-s-nale-malad-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/hospital/dr-sagar-s-nale-malad-west?specialization=Ayurveda
Ayurveda,Aarogyam Ayurvedic Clinic,https://images1-fabric.practo.com/54183f5fe63cde8dbf79b7aeb672c06975becf68a8c31.jpg,The first branch which was started at Mulund with an employee strength of two has had an overwhelming response with a patient base of 5000 Patients (approx) in a period of two years. more..,null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/aarogyam-ayurvedic-clinc-dadar-branch-dadar-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/aarogyam-ayurvedic-clinc-dadar-branch-dadar-west?specialization=Ayurveda
Ayurveda,Aarogyam Ayurveda & Panchkarma Clinic (Mulund),https://images1-fabric.practo.com/5246ae014c1b15608ea2d7c68c4c1f945bc478c816842.jpg,"Aarogyam Ayurveda & Panchkarma Clinic (Mulund) is an Ayurveda Clinic in Mulund East, Mumbai. The clinic is visited by ayurveda like Dr. Jayesh Jadhav. more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/aarogyam-ayurvedic-clinic-mulund-east?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/aarogyam-ayurvedic-clinic-mulund-east?specialization=Ayurveda
Ayurveda,Ayushakti Ayurved  Health Centre,https://images1-fabric.practo.com/practices/667292/ayushakti-ayurved-health-centre-mumbai-5c9f0b4c7dbb3.jpg,"For the past 27 years, Ayushakti has been serving people worldwide with its proven herbal remedies and authentic ancient treatment methods. The panel of highly experienced Vaidyas at Ayushakti are pioneers in Pulse reading, the extremely effective and ingeniously designed natural health services and more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/ayushakti-ayurved-health-centre-vileparle?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/ayushakti-ayurved-health-centre-vileparle?specialization=Ayurveda
Ayurveda,Madhavbaug Clinic,https://images1-fabric.practo.com/practices/674694/madhavbaug-clinic-mumbai-5d1355fef118f.png,"With more than a decade of expertise in preventive cardiology, Madhavbaug has a strong track record of patients who have obtained relief from life threatening diseases with Madhavbaug’s treatments. Founded in 2006 with a vision to reduce the mortality and morbidity due to heart disease and lifestyle more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/madhavbaug-clinic-ghatkopar-west?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/madhavbaug-clinic-ghatkopar-west?specialization=Ayurveda
Ayurveda,AyuMD Super Speciality Ayurveda for Psoriasis & Vitiligo,https://images1-fabric.practo.com/practices/704597/ayumd-superspeciality-ayurveda-mumbai-5b1fa04b4058e.jpg,Clinical excellence in management of ayurvedic clinics and hospital: md in ayurvedic medicine active clinical experience of ayurvedic diagnosis and management of chronic diseases has acquired clinical excellence through traditional guru –shishya traditional knowledge transfer from vaidya shri jamada more..,null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/vishwakirti-ayurveda-vashi?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/vishwakirti-ayurveda-vashi?specialization=Ayurveda
Ayurveda,Arya Aushadhi Pharma Mumbai Pvt Ltd,https://images1-fabric.practo.com/arya-aushadhi-pharma-mumbai-pvt-ltd-mumbai-1442902687-5600f29fadacf.jpg,"Panchakarma is a sanskrit word. Pancha means five and karma means treatment methods.Five karmas are Vaman, Virechan,Nasya,Basti, Raktamokshan. These treatments help healthy person as preventive treatment to keep physically and mentally fit and unhealthy person to get rid from many chronic diseases. more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/arya-aushadhi-pharma-mumbai-pvt-ltd-borivali?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/arya-aushadhi-pharma-mumbai-pvt-ltd-borivali?specialization=Ayurveda
Ayurveda,Sushrut Clinic,https://images1-fabric.practo.com/sushrut-clinic-mumbai-1444548930-561a1142c1263.jpg,"Dr. Rashmita Mistry, the founder and director of the Sushrut Clinic, Mumbai, got her formal education in Ayurveda education (BAMS - Bachelor of Ayurvedic Medicine & Surgery) from O.H.Nazar Ayurvedic College , Surat ( Gujarat Ayurved University, Jamnagar ) in the year 1995. Serving number of patients more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/sushrut-clinic-kandivali?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/sushrut-clinic-kandivali?specialization=Ayurveda
Ayurveda,Madhavbaug Clinic,https://images1-fabric.practo.com/madhavbaug-clinic-thane-1451465885-56839c9de11b8.PNG,"With more than a decade of expertise in preventive cardiology, Madhavbaug has a strong track record of patients who have obtained relief from life threatening diseases with Madhavbaug’s treatments. Founded in 2006 with a vision to reduce the mortality and morbidity due to heart disease and lifestyle more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/madhavbaug-clinic-mira-1?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/madhavbaug-clinic-mira-1?specialization=Ayurveda
Ayurveda,Anjali Mukerjee Health Total,https://images1-fabric.practo.com/anjali-mukerjee-health-total-mumbai-1477573485-5811fb6dc7c03.png,"Anjali Mukerjee Health Total is a Wellness Centre Clinic in Mumbai, Mumbai. The clinic is visited by doctors like Dr. Kirti Nagwekar Raikar. more..",null,null,null,null,Mumbai,Maharashtra,India,null,null,"eng,hindi",null,null,null,null,https://www.practo.com/mumbai/clinic/anjali-mukerjee-health-total-mumbai?specialization=Ayurveda,null,null,https://www.practo.com/mumbai/clinic/anjali-mukerjee-health-total-mumbai?specialization=Ayurveda
